a,b,c
1,-1.7140270456243674e-4,u
2,-0.4635482366694437,j
3,0.23621818025738894,n
4,-1.4969287474022899,k
5,0.021294392761099585,d
6,0.0651832421803892,c
7,0.823405557142888,t
8,0.6650195006121236,z
9,-1.276366382311019,u
10,0.3765905034771765,z
11,-1.177755039254208,g
12,-2.152125616115084,i
13,0.864285552925121,j
14,0.8072887403260195,l
15,-1.2456525194245076,v
16,0.43285209535855057,k
17,0.5721123177437206,h
18,-2.3765579710799916,g
19,-0.7098592048710288,f
20,-1.747565374369256,l
21,-1.0043008612011926,f
22,-1.5208822678634217,p
23,0.527874163956595,h
24,-0.8107026466548487,g
25,-1.391357552463777,z
26,0.45769230704464986,i
27,1.6407671024864776,n
28,0.2810390215543605,n
29,0.47534407550220925,t
30,0.1371002915853635,n
31,0.6165108069762552,a
32,0.2763447462257864,g
33,-1.2815051253167005,l
34,0.2498571642358849,i
35,0.520376295503843,v
36,7.933183557434849e-5,v
37,-0.3300515171294837,e
38,0.23151890420122898,n
39,-0.41828803398257264,q
40,-1.0007252525781665,i
41,-1.202683325045491,p
42,-0.5837455790804109,u
43,1.030561827848136,c
44,-1.9623345071003016,y
45,0.4237099583090942,v
46,0.3914251568952827,e
47,-0.17785264070326984,p
48,0.5375300336124399,z
49,0.031798160077573814,j
50,1.6958696247935823,y
51,-0.30276274697077193,a
52,-0.47024767032342485,f
53,1.1526611511893483,c
54,-0.220889603462742,t
55,0.13778392430883463,f
