a,b,c
1,-1.8643576479532218,q
2,0.06377042410297713,z
3,-0.031827234926566944,w
4,1.3897806261647128,r
5,-0.5723124675826483,b
6,1.3862287269495217,q
7,-1.2362614481525263,h
8,0.38204796930424034,n
9,-0.17674035565130164,t
10,1.368637148217381,i
11,-0.7288681254719537,h
12,-0.44154434440740636,t
13,0.06972208547939132,f
14,-0.9201705497311417,q
15,-1.3062391160002436,o
16,0.7764786429225062,v
17,-1.3664343430798875,l
18,-0.16044126014410748,d
19,1.0724149177582494,t
20,-1.4000387487835828,l
21,0.7669648590680602,k
22,0.06276060009072287,h
23,-1.0055810975514792,f
24,0.9294519002692437,r
25,1.3733761849909123,q
26,-1.3272843288508842,w
27,1.5762745266845146,l
28,0.5639514812949552,q
29,0.578436117522229,k
30,-1.58363492841953,w
31,0.1460635508335205,m
32,0.12328890397514485,a
33,0.09390969938945912,t
34,0.15946109532061528,w
35,0.07709433079913587,v
