a,b,c
1,-0.45876254136144884,x
2,0.6205800159721331,g
3,-0.6490116058811919,s
4,0.9855664115508322,n
5,-0.3187925500125468,e
6,2.1751355170358297,n
7,-0.5421927657003299,f
8,1.0702126186892729,f
9,0.079473778826765,i
10,0.9400259805073429,n
11,-1.862791559019235,e
12,0.44305589518969185,z
13,-0.5408002295391084,h
14,-1.3041140266064404,h
15,1.216479540770415,h
16,-0.8821590535477275,p
17,0.6109408431745619,z
18,-1.0180014523416994,v
19,-0.30225464997339124,h
20,0.8225497412318336,m
21,-0.40806124585604864,s
22,-0.004375876190426941,f
23,-0.4208165752624214,a
24,0.10688275152592056,b
25,0.40189361275738456,b
26,0.6549282929697687,x
27,2.696704998869243,d
28,-0.6013037029308307,c
29,0.08237054174283369,g
30,0.7963119500935074,u
31,0.6659274035521779,b
32,0.15062494825353445,m
33,-1.0559305942415116,i
34,-0.01696283140812525,r
35,-0.4995835308522738,y
36,0.10658840571499886,i
37,-0.6472478678277078,f
38,-0.4454355625864638,a
39,-0.28354938052724205,b
40,1.8633325575852608,s
41,0.29733775736581597,n
42,-0.935436118673575,u
43,0.6706551413541167,r
44,-1.3673133343176025,g
45,0.8225113412918891,a
46,0.37508866603068347,l
47,0.9087948862249449,c
48,-1.783269474345114,k
49,-0.0407239962891713,l
50,-0.9030138999650367,k
51,-0.5003151960400637,a
52,-0.8626427936013202,t
53,0.8971191122244899,r
54,-0.7873276759427353,p
55,1.019644589245376,i
56,-1.6564646177205855,s
57,0.18240409275787195,g
58,0.5841257383215706,d
59,2.1300611842102937,g
60,0.18888533016172487,k
61,0.019494898873727632,r
62,-0.03957469627203427,z
63,0.13921960812905673,l
64,0.8198075028219207,a
65,-0.8089960315059355,m
66,-1.474371179000642,y
