a,b,c
1,-0.15441128702976986,g
2,0.03626319177811816,o
3,0.9878985086956009,n
4,-1.9237319332486327,g
5,-0.8468210391569143,f
6,-0.35252808908246225,s
7,1.6121091556861045,g
8,-0.00890270431138918,r
9,0.27836410836746256,q
10,1.7344860920963787,e
11,1.1005473073391805,k
12,1.3026491141306042,t
13,0.027878857547181814,w
14,1.638684511281485,x
15,-0.17988784881678171,u
16,-0.6159551122473421,p
17,-1.6740869233598905,q
18,1.1300137409384885,r
19,0.7373741271915523,f
20,0.21104282459844184,b
21,0.12256256752907822,n
22,1.6711664660696888,q
23,-0.29639590678101596,y
24,-0.9008172923163543,n
25,2.0627672890709046,e
26,-1.31335375784469,w
27,1.3698849382613156,a
28,0.9153541183093163,e
29,2.1399596700238406,f
30,0.4727482248529121,y
31,-1.32465894881013,u
32,0.8153359119629574,k
33,-1.4344412565879925,e
34,0.46138710671579,u
35,0.06573610102652298,c
36,-0.5172986926290859,v
37,0.6733179228292366,z
38,0.7936673996494756,n
39,1.6584093953748857,q
40,0.052036845805592785,j
41,0.21573230563047813,a
42,1.7425042160823185,b
43,-1.144562917697084,o
44,-0.35944945545360396,y
45,-0.1791762418307008,q
46,-0.3170111910655638,e
47,2.101828213487204,s
48,1.8033539092464566,m
49,1.4137070426099578,a
50,0.8525991807235417,p
51,0.9448445104776877,m
52,-0.03333183514497467,x
53,0.9168590529435839,b
54,-0.8604904073128149,m
55,0.22746083849655246,h
56,-0.9192557710218598,s
57,-0.3175339433285243,t
58,0.3749227843736258,l
59,-1.4270684143893673,p
60,-2.0565268087113298,p
61,-0.22982295218608126,c
62,-1.1512308340716173,o
63,-1.7119994039343414,e
64,-0.5499574939577886,v
65,-0.415527835310992,l
66,0.8515003451787678,w
67,-1.0721037821941206,v
68,-0.17048814476172383,a
69,-0.8765591204890031,z
70,1.653485322269058,r
71,0.5994958790684255,b
72,1.8192254794283031,h
73,0.5755398138309259,m
