a,b,c
1,-0.5756840032016423,b
2,1.7149968839069867,b
3,-0.5364235011078653,n
4,-0.5657973921861507,q
5,-0.788059064751627,g
6,-0.8394844519417206,a
7,-0.0037999117619875265,u
8,0.37960523157570314,w
9,1.8167147856435506,l
10,1.6539618651726404,c
11,0.4684937352414031,g
12,-0.4995741493674437,i
13,-1.6171659295221295,w
14,-0.6774032957782673,t
15,-0.6862994540083247,t
16,-0.4944418823486484,n
17,0.7198099544901114,z
18,0.04649792656573699,w
19,-0.22185723492574008,f
20,-2.183159967048738,z
21,0.46221467301634567,z
22,0.21080960045255784,s
23,-0.7826810373167999,l
24,-0.10203357793889305,y
25,0.6942694795966128,s
26,-0.6582480601335716,h
27,-1.5565192314179055,g
28,-0.7208107155740939,m
29,0.4308534519196288,j
30,0.47862899484106947,c
31,0.694219477535081,q
32,0.94250752381094,e
33,0.576724102339524,p
34,0.20765976910402598,w
35,0.9828109718075526,o
36,-0.17450247049579362,c
37,-0.5579768457298623,l
38,-1.2848903000914371,k
39,-1.3415360713221325,h
40,-0.4200565329678772,g
41,0.521825165869887,i
42,-0.6393868915940203,c
43,-1.2676895711349194,p
44,2.357306668282073,e
45,-0.20731357080163518,a
46,-1.1197906148671348,z
47,-1.314434349302014,x
48,-0.15150638742429076,r
49,0.07328038040871199,j
50,1.921491914349538,d
51,-0.13341460144191292,q
52,1.5500500760620513,q
53,-0.8270294018660649,r
54,0.2633388278970147,o
55,0.3132762017925355,c
56,0.22749370970515082,f
57,-0.40727573090599384,s
58,2.043550932921825,w
59,-0.94683569514789,i
60,-0.3028544804007149,f
61,1.4751458175971,h
62,-0.6149036691458247,n
63,0.6029357278048453,e
64,0.05720547712048457,o
65,-0.8529553326683603,n
66,1.6620569644265653,l
67,0.32511986128920717,j
68,-1.2980353683678651,j
69,-0.03450659661240482,j
70,0.4360061105177017,j
71,-1.11920269518912,q
72,-1.3576232675570248,k
73,-3.1673081101972076,r
74,-0.7625783289920212,m
75,-2.261272418610526,s
76,0.01264702331886107,n
77,-0.2786934139014805,c
78,0.17278695759449042,w
79,0.8228374754309847,r
80,0.16578036768733265,c
81,-0.7943143341528727,p
82,0.21299465326443093,f
83,-1.6093329656845219,f
84,-0.9651301972492563,b
85,-0.326252798792064,c
86,0.2960111445273974,q
87,-0.15449226107515382,n
88,-2.1605290710829843,n
89,-0.5299306989155987,h
90,0.03676517850873337,m
91,-0.8368729086809276,j
92,-2.2385590066772334,i
93,0.3710450243507295,p
94,-1.269106585904005,c
95,-0.5313579385372136,i
