a,b,c
1,-0.5922948598265844,e
2,1.1132790253683902,o
3,1.5147388768044443,v
4,-0.12415197663422083,o
5,0.15637575818360616,s
6,2.136849067232447,a
7,0.3916910041856814,s
8,-0.2028051067451803,u
9,-0.03045815457956535,p
10,0.5016621148089417,q
11,1.513071371266832,w
12,1.0559757822460982,r
13,-0.604035073709793,q
14,-0.5590249654633085,r
15,-1.0576009656869805,h
16,0.18804913554903474,i
17,-1.4222455041840985,p
18,2.077894368559203,c
19,0.7719935595807375,y
20,1.0314474240848932,q
21,-0.3093094440501288,s
22,1.1719776903307262,u
23,0.20619338594321437,h
24,-2.013314220487297,l
25,0.21314979307325854,q
26,-1.8945854666797977,m
27,-1.5659526215975572,g
28,-2.1720703586896337,z
29,-0.2215804668280339,a
30,0.1568145066138467,h
31,-0.9120865912720575,k
32,-0.8860364819900569,y
33,1.2762507772710576,d
34,-0.7957105457033674,q
35,1.0543553774610446,t
36,0.021335583888034842,g
37,0.22013819034218934,n
38,0.20449024848846858,u
39,-0.33523383035665244,p
40,-0.12429500054520555,n
41,0.9222029491031166,c
42,0.6472643356448429,i
43,0.21925767551667236,u
44,-0.6520767272813028,z
45,-0.7942232554857774,w
46,-0.5813999000586707,g
47,1.3077610352394107,f
48,0.1594321425909146,r
49,-0.782459702949324,i
50,0.882539154082446,k
51,2.1053005465349743,j
52,0.42582477567700777,k
53,-0.1778788692793004,y
54,-0.7891489733278356,g
55,0.22038408246710112,j
56,0.22921931451886848,h
57,-0.4459067175044014,l
58,-1.5197839872924017,l
59,0.9880729044945765,q
60,1.2887307152618614,l
61,-0.7108509776743829,e
62,-1.5537754954258687,m
63,-0.08175307759534428,q
64,-0.9294134070347299,u
65,0.44648602602471865,v
66,-0.846290731675086,b
67,-0.8069790414532182,m
68,1.1183707370178952,g
69,-1.8639884186204105,r
70,1.4555463445586054,y
71,-0.28061604746648894,e
72,1.0185148964759227,e
73,1.8919111009920748,t
74,0.3569697988001469,u
75,1.2090603500047281,s
76,0.7617652757321504,z
77,0.312724718216694,j
78,-0.759008590800861,a
79,0.5280261811367875,i
