a,b,c
1,0.09861560679700623,v
2,-1.4387681362160938,h
3,-0.4301840284302475,f
4,-1.0373496059467862,u
5,-0.2439427818776573,w
6,-0.5547364349456092,o
7,-1.5392361286981624,d
8,-0.4177462072817692,w
9,0.19326519807254905,r
10,-1.1263732730355789,e
11,0.5450024436654475,e
12,1.2420556629172184,y
13,-1.3402910527558607,l
14,-2.1670455419680654,v
15,3.285724808374643,f
16,0.3538286379170584,e
17,0.060064174612233054,x
18,-2.2614875442277302,d
19,0.2259902565386201,r
20,1.1857133658329917,w
21,0.5099918996168675,x
22,-0.30380703948436233,z
23,0.7492597306031477,t
24,-0.02801340697292782,c
25,-0.18465316143312538,p
26,0.5093175479781422,w
27,0.04111162242934892,v
28,0.7096387659220388,l
29,-0.6310760375681378,z
30,-0.4943901820080792,a
31,-0.12058133648962432,q
32,-0.5090856911999845,c
33,-0.09130530595588454,s
34,-0.07312748433496956,w
35,-0.12234993797421928,e
36,0.9978660478606951,w
37,0.20866064244333354,t
38,0.4778015102926778,p
39,-0.7638561700287758,l
40,-1.3127559601414978,g
41,0.5306544341403313,q
42,-0.09085228553673375,f
43,1.3496397510755405,c
44,0.34131280033003925,f
45,-0.7209115298201925,k
46,0.2463352217316613,g
47,-0.5052176960236306,x
48,0.11954897608128151,l
49,-0.30831810116646147,m
50,0.5289965662991217,w
51,-2.325249878705736,t
52,-1.270153601769521,r
53,-1.0852390697696699,a
54,-1.441842841720339,y
55,1.552037307431208,a
56,-0.5246229568701123,a
57,-0.9583790396918739,k
58,0.3597909929785098,y
59,0.8150740537319988,l
