a,b,c
1,1.0843527535187953,y
2,-0.5022410703333936,p
3,-1.9911974829214556,g
4,-0.40322606967433466,b
5,0.5533059910681669,z
6,-0.9881838192352181,l
7,0.18710063212998168,o
8,0.03855424496705761,k
9,0.5161159914260467,f
10,0.40503622565650244,y
11,0.3643349925614793,k
12,0.13112361137842124,g
13,0.10522039921598977,k
14,-0.56692250474872,b
15,-2.0118792699896226,p
16,1.5377209736763573,i
17,1.389170036638768,x
18,1.2269102170730029,z
19,-0.9572326135303546,a
20,0.3521933791755463,q
21,-0.8220157264113929,r
