a,b,c
1,-0.35816263147072225,i
2,0.22168030738438207,d
3,1.2651869866339251,p
4,-0.1744260952938007,l
5,-0.7166935168674938,v
6,0.6927744519050988,s
7,-1.5703844301412448,u
8,2.137918980704229,f
9,-0.9012429957609781,j
10,1.407304766369276,m
11,-0.7687449894793652,p
12,-1.287143525560485,d
13,-1.442546144608698,e
14,0.0480400389817614,q
15,0.1329852818829459,b
16,-0.4778061225259654,j
17,1.3565383266429845,e
18,-0.5651421736757051,a
19,-0.6960220095766895,e
20,0.5698197399210249,n
21,0.8142773084116637,o
22,0.23671574329652498,b
23,0.5877320435667847,y
24,-0.2520387872929852,p
25,0.6366506565915567,f
26,0.25136652907973583,e
27,1.6656363643519894,u
28,-0.9730395650371315,s
29,-0.430433225437577,b
30,-0.622388581363991,n
31,0.25016802049299763,q
32,-1.4901987618936945,o
33,0.1398356443906466,y
34,-0.8654108651605661,c
35,0.4765917388972173,s
36,1.3897942366379632,s
37,0.4891666446268128,x
38,-0.31894936851677314,q
39,0.008797429221707748,x
40,-0.3797352512812691,c
41,0.7106812519612425,r
42,-0.9116426242910931,s
43,-1.327602300447302,k
44,-0.054956763651665214,a
45,1.9863738638609112,c
46,-0.4097060742353273,j
47,-0.46325798327380757,c
48,1.3078914909839858,z
49,0.13522758691608683,s
50,1.620444712722251,s
51,-0.2705825304403886,a
52,-1.5832884698244047,z
53,-1.0587032511244494,t
54,1.1275124498986548,w
55,-0.27553702706552025,o
56,-0.6931341785053715,u
57,1.0149361921673317,b
58,0.8343701451495157,x
59,0.539484009347661,q
60,-0.11465969070903538,j
61,0.245785423721688,l
62,-1.3326793946165068,c
63,-2.099062180243015,l
64,-0.9882951742429291,t
65,-0.38164439569272185,i
66,1.1663503615330806,z
67,1.6638403586587365,i
68,1.41716788244496,y
69,0.7037521193200083,u
70,-0.34368543765781073,i
71,0.3154348295463294,k
72,-1.3191705649740095,z
73,0.9781051769108625,y
74,-1.8713695685491345,q
75,-0.16403534617974552,m
76,0.5184863618617062,g
77,0.37670631248152536,o
78,2.081584991837703,c
79,0.423981012794764,x
80,-0.9035759121148658,f
81,0.031369312337101996,g
82,0.5059084392451816,z
83,0.45251686846711614,y
84,0.3684165219074479,w
85,-0.018272691870944532,u
86,1.0340563290796503,j
87,-1.9575930059982225,m
88,0.6167811807860668,r
89,1.0584267799505072,x
90,0.5795707756054952,l
91,-1.8753722648515057,g
92,-0.7406644259597249,x
93,0.9622099483101366,s
94,1.1174425850241212,v
95,-0.7592451384065473,q
