a,b,c
1,0.34115514351757636,e
2,-1.336164863432749,h
3,0.2362483639631964,v
4,0.3671951444415267,e
5,2.2845821451312687,d
6,-0.6365273360982184,v
7,0.8808416896845921,s
8,-0.08939372908184974,s
9,-0.03665836499003397,e
10,-2.2100038610923503,b
11,0.03398194743471348,i
12,0.04912154303440218,r
13,-0.7092566076737474,c
14,-0.255671780174092,d
15,1.492420072770652,o
16,0.6268264590671478,t
17,-0.7134002576574546,d
18,0.9146557935967728,e
19,1.0789527770995047,h
20,0.9743442007888445,q
21,-1.2317364727669708,u
22,0.4434649250062481,g
23,-1.061286616952853,n
24,0.35213799939883283,z
25,-0.9834609327272787,x
26,-0.5465821016646265,m
27,0.21381713272937405,i
28,1.372212057922537,k
29,-0.17888992532446815,u
30,-1.04646097776874,v
31,-1.0544538211318213,v
32,0.18231868663266393,c
33,-1.340855723515743,x
34,-1.4340100440469543,n
35,-1.1207883696928085,o
36,-0.3330103248454092,v
37,1.3306241831343466,g
38,1.732678280855611,m
39,0.3987609072096854,x
40,2.0201069618357392,t
41,-0.5561191442751933,f
42,-0.38544429505235445,n
43,-0.9224407626693164,m
44,-0.41030037982432804,p
45,1.5432569924848645,g
46,0.8957736004077086,m
47,-1.9658406190253364,x
48,-0.8551698594219914,d
49,1.2056784395631832,o
50,0.9345801083923102,z
51,-0.0013094651828172823,g
52,-0.1844725515066307,y
53,-1.5161332377789103,g
54,0.015326177919121331,g
55,0.15718526334145755,g
56,0.8007277639417191,a
57,-0.7848863862588936,o
58,1.7250057209568104,c
59,-1.7858621724470012,v
60,1.9337525801906121,q
61,-0.8521907784134349,o
62,1.0221509888018865,v
63,-0.6783296746016291,w
64,-0.820289559312059,p
65,-1.191033001915134,v
66,0.9042911304108495,o
67,1.0356304066392983,v
68,-0.1540765893711536,o
69,0.15261464347860104,e
70,1.0333940580008365,e
71,-0.7244172124584992,u
72,0.5253803604388465,c
73,0.6232388246039858,n
74,-0.44341397210531375,i
75,-0.4535775125802807,i
76,0.32778462102201894,j
77,-0.6010395227935518,c
78,0.23982302102481737,l
79,-1.7602324200955575,j
80,0.3317517070746987,a
81,-0.20783505772581146,w
82,0.6668181778497554,v
83,-0.9292431789876323,o
84,-1.1087033109278306,w
85,-0.18837546146313122,m
86,0.7156008716823242,x
87,0.10427836523976851,d
88,0.0847585246463232,l
89,-0.9168582809304592,o
90,-0.9076620107454467,t
91,-1.3044565185182015,e
